Nome da música,Feature,Valor
Music For a Sushi Restaurant,Energia,0.715
Music For a Sushi Restaurant,Ao vivo,0.107
Music For a Sushi Restaurant,Acústica,0.258
Music For a Sushi Restaurant,Instrumental,0.0568
Music For a Sushi Restaurant,Dançabilidade,0.72
Music For a Sushi Restaurant,Volume,-4.652
Late Night Talking,Energia,0.728
Late Night Talking,Ao vivo,0.106
Late Night Talking,Acústica,0.298
Late Night Talking,Instrumental,0.0
Late Night Talking,Dançabilidade,0.714
Late Night Talking,Volume,-4.595
Grapejuice,Energia,0.721
Grapejuice,Ao vivo,0.204
Grapejuice,Acústica,0.357
Grapejuice,Instrumental,0.143
Grapejuice,Dançabilidade,0.645
Grapejuice,Volume,-4.394
As It Was,Energia,0.731
As It Was,Ao vivo,0.311
As It Was,Acústica,0.342
As It Was,Instrumental,0.00101
As It Was,Dançabilidade,0.52
As It Was,Volume,-5.338
Daylight,Energia,0.445
Daylight,Ao vivo,0.175
Daylight,Acústica,0.484
Daylight,Instrumental,0.00144
Daylight,Dançabilidade,0.686
Daylight,Volume,-7.189
Little Freak,Energia,0.535
Little Freak,Ao vivo,0.0954
Little Freak,Acústica,0.719
Little Freak,Instrumental,0.000143
Little Freak,Dançabilidade,0.559
Little Freak,Volume,-7.723
Matilda,Energia,0.294
Matilda,Ao vivo,0.0966
Matilda,Acústica,0.896
Matilda,Instrumental,1.97e-05
Matilda,Dançabilidade,0.507
Matilda,Volume,-10.0
Cinema,Energia,0.644
Cinema,Ao vivo,0.0944
Cinema,Acústica,0.354
Cinema,Instrumental,0.0511
Cinema,Dançabilidade,0.829
Cinema,Volume,-7.696
Daydreaming,Energia,0.811
Daydreaming,Ao vivo,0.131
Daydreaming,Acústica,0.311
Daydreaming,Instrumental,0.0152
Daydreaming,Dançabilidade,0.707
Daydreaming,Volume,-5.298
Keep Driving,Energia,0.479
Keep Driving,Ao vivo,0.182
Keep Driving,Acústica,0.321
Keep Driving,Instrumental,0.00156
Keep Driving,Dançabilidade,0.721
Keep Driving,Volume,-9.669
Satellite,Energia,0.457
Satellite,Ao vivo,0.0917
Satellite,Acústica,0.143
Satellite,Instrumental,3.05e-05
Satellite,Dançabilidade,0.576
Satellite,Volume,-6.473
Boyfriends,Energia,0.202
Boyfriends,Ao vivo,0.108
Boyfriends,Acústica,0.935
Boyfriends,Instrumental,0.0
Boyfriends,Dançabilidade,0.417
Boyfriends,Volume,-10.976
Love Of My Life,Energia,0.536
Love Of My Life,Ao vivo,0.0623
Love Of My Life,Acústica,0.669
Love Of My Life,Instrumental,0.0
Love Of My Life,Dançabilidade,0.555
Love Of My Life,Volume,-8.233
Golden,Energia,0.838
Golden,Ao vivo,0.131
Golden,Acústica,0.21
Golden,Instrumental,0.000131
Golden,Dançabilidade,0.448
Golden,Volume,-5.257
Watermelon Sugar,Energia,0.816
Watermelon Sugar,Ao vivo,0.335
Watermelon Sugar,Acústica,0.122
Watermelon Sugar,Instrumental,0.0
Watermelon Sugar,Dançabilidade,0.548
Watermelon Sugar,Volume,-4.209
Adore You,Energia,0.771
Adore You,Ao vivo,0.102
Adore You,Acústica,0.0237
Adore You,Instrumental,7e-06
Adore You,Dançabilidade,0.676
Adore You,Volume,-3.675
Lights Up,Energia,0.621
Lights Up,Ao vivo,0.141
Lights Up,Acústica,0.0392
Lights Up,Instrumental,0.0045
Lights Up,Dançabilidade,0.575
Lights Up,Volume,-8.165
Cherry,Energia,0.512
Cherry,Ao vivo,0.129
Cherry,Acústica,0.615
Cherry,Instrumental,0.00453
Cherry,Dançabilidade,0.53
Cherry,Volume,-9.261
Falling,Energia,0.267
Falling,Ao vivo,0.089
Falling,Acústica,0.839
Falling,Instrumental,1.46e-06
Falling,Dançabilidade,0.567
Falling,Volume,-6.502
To Be So Lonely,Energia,0.436
To Be So Lonely,Ao vivo,0.335
To Be So Lonely,Acústica,0.618
To Be So Lonely,Instrumental,1.61e-05
To Be So Lonely,Dançabilidade,0.758
To Be So Lonely,Volume,-7.269
She,Energia,0.521
She,Ao vivo,0.19
She,Acústica,0.000532
She,Instrumental,0.371
She,Dançabilidade,0.535
She,Volume,-5.942
"Sunflower, Vol. 6",Energia,0.846
"Sunflower, Vol. 6",Ao vivo,0.121
"Sunflower, Vol. 6",Acústica,0.000564
"Sunflower, Vol. 6",Instrumental,0.000795
"Sunflower, Vol. 6",Dançabilidade,0.566
"Sunflower, Vol. 6",Volume,-6.904
Canyon Moon,Energia,0.621
Canyon Moon,Ao vivo,0.119
Canyon Moon,Acústica,0.328
Canyon Moon,Instrumental,3.49e-05
Canyon Moon,Dançabilidade,0.603
Canyon Moon,Volume,-7.14
Treat People With Kindness,Energia,0.869
Treat People With Kindness,Ao vivo,0.046
Treat People With Kindness,Acústica,0.128
Treat People With Kindness,Instrumental,2.2e-05
Treat People With Kindness,Dançabilidade,0.653
Treat People With Kindness,Volume,-3.725
Fine Line,Energia,0.347
Fine Line,Ao vivo,0.0485
Fine Line,Acústica,0.172
Fine Line,Instrumental,0.00013
Fine Line,Dançabilidade,0.306
Fine Line,Volume,-8.5
Meet Me in the Hallway,Energia,0.383
Meet Me in the Hallway,Ao vivo,0.356
Meet Me in the Hallway,Acústica,0.747
Meet Me in the Hallway,Instrumental,0.00025
Meet Me in the Hallway,Dançabilidade,0.537
Meet Me in the Hallway,Volume,-6.528
Sign of the Times,Energia,0.595
Sign of the Times,Ao vivo,0.109
Sign of the Times,Acústica,0.0275
Sign of the Times,Instrumental,0.0
Sign of the Times,Dançabilidade,0.516
Sign of the Times,Volume,-4.63
Carolina,Energia,0.673
Carolina,Ao vivo,0.104
Carolina,Acústica,0.000569
Carolina,Instrumental,1.54e-06
Carolina,Dançabilidade,0.624
Carolina,Volume,-4.017
Two Ghosts,Energia,0.407
Two Ghosts,Ao vivo,0.0999
Two Ghosts,Acústica,0.234
Two Ghosts,Instrumental,1.86e-06
Two Ghosts,Dançabilidade,0.386
Two Ghosts,Volume,-7.095
Sweet Creature,Energia,0.262
Sweet Creature,Ao vivo,0.068
Sweet Creature,Acústica,0.746
Sweet Creature,Instrumental,0.0
Sweet Creature,Dançabilidade,0.427
Sweet Creature,Volume,-8.541
Only Angel,Energia,0.842
Only Angel,Ao vivo,0.106
Only Angel,Acústica,0.287
Only Angel,Instrumental,0.0
Only Angel,Dançabilidade,0.554
Only Angel,Volume,-4.113
Kiwi,Energia,0.93
Kiwi,Ao vivo,0.318
Kiwi,Acústica,0.00064
Kiwi,Instrumental,0.0
Kiwi,Dançabilidade,0.375
Kiwi,Volume,-2.631
Ever Since New York,Energia,0.537
Ever Since New York,Ao vivo,0.125
Ever Since New York,Acústica,0.2
Ever Since New York,Instrumental,3.13e-06
Ever Since New York,Dançabilidade,0.389
Ever Since New York,Volume,-6.761
Woman,Energia,0.647
Woman,Ao vivo,0.221
Woman,Acústica,0.0169
Woman,Instrumental,0.0038
Woman,Dançabilidade,0.624
Woman,Volume,-4.68
From the Dining Table,Energia,0.156
From the Dining Table,Ao vivo,0.113
From the Dining Table,Acústica,0.804
From the Dining Table,Instrumental,0.0518
From the Dining Table,Dançabilidade,0.671
From the Dining Table,Volume,-16.288
