Nome da música,Nome do artista,Álbum,Data de lançamento do álbum,Qtd músicas no álbum,Duração em min,Conteúdo explícito,Preview da música,Energia,Ao vivo,Acústica,Instrumental,Dançabilidade,Volume,Década
Music For a Sushi Restaurant,Harry Styles,Harry's House,2022-05-20,13,3.2302166666666667,False,https://p.scdn.co/mp3-preview/3badb04493ee555f8909636f0dd909ffd9c385bc?cid=55d61e8e4d514773855f892a1c07883a,0.715,0.107,0.258,0.0568,0.72,-4.652,2020
Late Night Talking,Harry Styles,Harry's House,2022-05-20,13,2.9659,False,https://p.scdn.co/mp3-preview/50f056e2ab4a1bef762661dbbf2da751beeffe39?cid=55d61e8e4d514773855f892a1c07883a,0.728,0.106,0.298,0.0,0.714,-4.595,2020
Grapejuice,Harry Styles,Harry's House,2022-05-20,13,3.1993,False,https://p.scdn.co/mp3-preview/a0d663b6bde75efc6e613edd43a2e9b6a5a211a7?cid=55d61e8e4d514773855f892a1c07883a,0.721,0.204,0.357,0.143,0.645,-4.394,2020
As It Was,Harry Styles,Harry's House,2022-05-20,13,2.788383333333333,False,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=55d61e8e4d514773855f892a1c07883a,0.731,0.311,0.342,0.00101,0.52,-5.338,2020
Daylight,Harry Styles,Harry's House,2022-05-20,13,2.7422166666666667,False,https://p.scdn.co/mp3-preview/81ea9803f889882847dc1474ef6c657d8e5566f1?cid=55d61e8e4d514773855f892a1c07883a,0.445,0.175,0.484,0.00144,0.686,-7.189,2020
Little Freak,Harry Styles,Harry's House,2022-05-20,13,3.3697166666666667,False,https://p.scdn.co/mp3-preview/38dfa398e1e1a99d3f4fc998bd1e6bdbaf97ed64?cid=55d61e8e4d514773855f892a1c07883a,0.535,0.0954,0.719,0.000143,0.559,-7.723,2020
Matilda,Harry Styles,Harry's House,2022-05-20,13,4.0994,False,https://p.scdn.co/mp3-preview/f2b98f3f2c3813405ee9bd48cad2f9d8e50f4607?cid=55d61e8e4d514773855f892a1c07883a,0.294,0.0966,0.896,1.97e-05,0.507,-10.0,2020
Cinema,Harry Styles,Harry's House,2022-05-20,13,4.05845,False,https://p.scdn.co/mp3-preview/0f977ab13aa73318e103a5356ef2690df2f1214b?cid=55d61e8e4d514773855f892a1c07883a,0.644,0.0944,0.354,0.0511,0.829,-7.696,2020
Daydreaming,Harry Styles,Harry's House,2022-05-20,13,3.1223666666666667,False,https://p.scdn.co/mp3-preview/6ed66e562f567da0132abedf626d078ef4fb9c73?cid=55d61e8e4d514773855f892a1c07883a,0.811,0.131,0.311,0.0152,0.707,-5.298,2020
Keep Driving,Harry Styles,Harry's House,2022-05-20,13,2.33735,False,https://p.scdn.co/mp3-preview/41759e42f6c8d04521d33e4df78868b52d17f594?cid=55d61e8e4d514773855f892a1c07883a,0.479,0.182,0.321,0.00156,0.721,-9.669,2020
